x	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
24	0.003452274	0.003475091	0.003239474	0.003308723	0.003108689	0.002933041	0.001879217	0.001922702	0.001873917	0.001707586	0.001646853	0.001482434	0.001342669	0.001309985	0.00121171	0.001215289	0.001616272	0.002441584	0.002446843	0.002078754	0.001769559	0.00136739	0.00123658	0.001089726	0.001108619	0.000974379	0.001026415	0.000881327	0.000860993	0.000874471	0.00085055	0.00082663	0.000808989	0.000716072	0.00073338	0.000731813	0.000736443	0.000785219
25	0.003693796	0.003585672	0.003178428	0.003193784	0.002992415	0.002828128	0.001864416	0.001899137	0.001828511	0.001714593	0.00165487	0.00150789	0.001425394	0.001324762	0.001242297	0.001278862	0.001624126	0.002352957	0.002372422	0.002068983	0.001811571	0.00141554	0.001248504	0.00112228	0.001143956	0.0010354	0.001062031	0.0009231	0.000895137	0.000903087	0.000871804	0.000840524	0.000849284	0.000753834	0.000772685	0.000771953	0.000765057	0.00077078
26	0.003919504	0.003684903	0.003178105	0.003183803	0.00298596	0.002830878	0.001891354	0.001875323	0.001791138	0.001748006	0.001649873	0.001545581	0.001471063	0.001336022	0.001280295	0.001329997	0.001664417	0.0023548	0.002361637	0.002084728	0.001846771	0.001472372	0.001278544	0.00116285	0.001186132	0.001093599	0.001102571	0.000965163	0.000931722	0.000938283	0.000901156	0.000864034	0.000885672	0.000782947	0.000804367	0.000794353	0.000793329	0.00077651
27	0.004044864	0.003778483	0.003247608	0.003264731	0.003052618	0.002889858	0.001937301	0.001902311	0.001821672	0.001794618	0.001681381	0.001592479	0.001520898	0.001369932	0.001326142	0.001384059	0.001707534	0.002352782	0.00234036	0.002091416	0.001871088	0.001516895	0.001305994	0.001203153	0.001225652	0.001137186	0.001142856	0.001004619	0.000967652	0.00097659	0.000935576	0.00089457	0.000921876	0.000816694	0.00083812	0.000818852	0.000821474	0.000791746
28	0.004068347	0.003866346	0.003387843	0.003437751	0.003193278	0.003005718	0.00200331	0.001980486	0.001920606	0.001855365	0.001749641	0.001649185	0.001574929	0.001426617	0.001380026	0.001440992	0.001753501	0.002352622	0.002314468	0.002092527	0.001886917	0.001549043	0.001330843	0.001243192	0.001262506	0.001166105	0.001182892	0.00104146	0.001002926	0.001018024	0.000975087	0.000932159	0.000957901	0.000855094	0.000873954	0.000845796	0.000849491	0.000816518
29	0.003988301	0.003948422	0.003599782	0.003704147	0.003408897	0.003179152	0.002089486	0.002110256	0.002088467	0.001930642	0.001854912	0.001716024	0.001633189	0.001506208	0.001441855	0.001500957	0.001802344	0.002359184	0.002289621	0.002091684	0.001897381	0.001568744	0.001353079	0.00128297	0.001296685	0.001180289	0.001222682	0.001075681	0.001037546	0.001062603	0.001019712	0.000976829	0.000993748	0.000898165	0.000911881	0.000875784	0.000877385	0.000850859
30	0.003885947	0.00403182	0.003787731	0.003952657	0.003574607	0.003289587	0.002215355	0.002223164	0.002261431	0.002022798	0.001900769	0.001796084	0.001664588	0.001573875	0.001530204	0.00156726	0.001817941	0.002396011	0.002255799	0.002080715	0.001871035	0.001568165	0.001345412	0.00130256	0.001309038	0.001174022	0.001253381	0.001099116	0.001056755	0.001097578	0.001054154	0.001010735	0.001014012	0.000932027	0.000941569	0.000894435	0.000889579	0.000867917
31	0.003852036	0.004120697	0.003930508	0.004142441	0.003692584	0.003363117	0.002332283	0.002302562	0.002389752	0.002125391	0.001922346	0.001882124	0.001693476	0.001626693	0.001591537	0.001619817	0.001831851	0.002391103	0.002253783	0.002090993	0.001893701	0.001576001	0.001339524	0.001322496	0.001323315	0.001177642	0.001284451	0.001124453	0.00107653	0.001130649	0.001085361	0.001040081	0.001034521	0.000962926	0.000970004	0.000937943	0.000901936	0.000878669
32	0.003849826	0.004209981	0.004114508	0.004365866	0.003890447	0.003534899	0.002458756	0.002409103	0.002512811	0.002239781	0.002034362	0.001976807	0.001763353	0.001698236	0.001663712	0.001691012	0.001896269	0.002428899	0.002272426	0.002114117	0.001933864	0.001614519	0.001378714	0.001373095	0.00137067	0.001212097	0.001329522	0.001166251	0.001119692	0.001178475	0.001132177	0.001085888	0.001078675	0.001007924	0.001011053	0.000991719	0.000938023	0.000915546
33	0.003879812	0.004299697	0.004340467	0.004623619	0.00416948	0.003806336	0.002593033	0.002543067	0.0026306	0.002364406	0.00223755	0.002079626	0.001874509	0.001788638	0.001746812	0.001780979	0.002011577	0.002509812	0.002314957	0.002153113	0.001994148	0.001683918	0.001463232	0.001454528	0.001451283	0.001277536	0.001388673	0.001224588	0.001186348	0.00124113	0.001194675	0.00114823	0.001146576	0.001067081	0.001064772	0.001055881	0.000997932	0.000978645
